5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),72_Onshore or offshore,75_Temperature (original) (deg. F),77_Pressure (original) (psi),82_Drive mechanism (main),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),293_Original in-place oil equivalent (MMBOE),307_Recovery factor (ultimate oil) (%)
1P ,EUROPE,NORTH SEA NORTHERN,37.0,105.0,OFFSHORE,271.0,5147.0,GAS DRIVE,JURASSIC/TRIASSIC,779.0,0.75,17.0,0.0,0.17,2133.0,36.0,29.0
1P ,ASIA-PACIFIC,CARNARVON,20.0,22.0,OFFSHORE,122.0,926.0,AQUIFER DRIVE,CRETACEOUS,164.0,0.8,32.0,19.0,14.4,99.0,172.0,44.0
1P ,ASIA-PACIFIC,JIANGHAN,198.0,16.0,ONSHORE,192.0,3704.0,GAS DRIVE,PALEOGENE,200.0,0.03,18.3,31.0,6.2,212.0,238.0,50.2
1P ,NORTH AMERICA,PERMIAN,63.0,160.0,ONSHORE,180.0,3900.0,GAS DRIVE,PERMIAN,84.0,0.31,10.0,43.6,0.7,500.0,1000.0,44.0
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,22.0,0.0,ONSHORE,225.0,6013.0,AQUIFER DRIVE,NEOGENE,250.0,0.8,26.0,31.0,0.45,500.0,1000.0,70.0
1P ,ASIA-PACIFIC,NANXIANG,84.0,77.0,ONSHORE,170.0,2262.0,AQUIFER DRIVE,PALEOGENE,200.0,0.6,22.0,33.5,7.5,100.0,67.6,41.0
1P ,NORTH AMERICA,POWDER RIVER,479.0,160.0,ONSHORE,158.0,2540.0,GAS DRIVE,CRETACEOUS,110.0,0.35,14.2,42.1,0.7,834.0,1000.0,44.0
1P ,NORTH AMERICA,WESTERN CANADA,22.0,160.0,ONSHORE,181.0,3242.0,GAS DRIVE,TRIASSIC,200.0,0.6,10.0,45.0,0.7,1028.0,224.0,20.7
1P ,ASIA-PACIFIC,BOHAI,213.0,5.5,ONSHORE,167.0,2677.0,GAS DRIVE,PALEOGENE,6600.0,0.1,24.8,26.0,9.28,257.0,186.0,39.8
1P ,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,236.0,0.0,ONSHORE,200.0,4100.0,AQUIFER DRIVE,PALEOGENE,800.0,0.56,26.0,33.0,0.9,500.0,1000.0,65.0
1P ,ASIA-PACIFIC,GIPPSLAND,30.0,160.0,OFFSHORE,215.0,3303.0,AQUIFER DRIVE,PALEOGENE,200.0,0.75,19.0,47.0,2.15,363.0,1000.0,59.0
1P ,NORTH AMERICA,NORTH SLOPE,22.0,0.0,ONSHORE,75.0,1800.0,GAS DRIVE,CRETACEOUS,300.0,0.2,29.0,16.0,30.0,210.0,15500.0,44.0
1P ,ASIA-PACIFIC,KUTAI,22.0,0.0,OFFSHORE,142.38250993389187,3800.0,GAS DRIVE,NEOGENE,2500.0,0.3,24.4,40.5,2.1,949.0,1000.0,44.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,1174.0,32.0,ONSHORE,168.0,3524.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.7,23.0,28.6,6.0,182.0,2357.0,28.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,1174.0,32.0,ONSHORE,168.0,3524.0,AQUIFER DRIVE,CRETACEOUS,200.0,0.67,25.0,28.5,5.2,178.0,4091.0,31.0
1P ,FORMER SOVIET UNION,SIBERIAN WESTERN,1174.0,32.0,ONSHORE,186.51378266121884,3936.579443101714,AQUIFER DRIVE,CRETACEOUS,200.0,0.78,27.0,28.4,6.0,176.0,1585.0,36.0
1P ,FORMER SOVIET UNION,TIMAN-PECHORA,227.0,0.0,ONSHORE,156.0,2807.0,AQUIFER DRIVE,DEVONIAN,60.0,0.6,19.0,35.0,1.5,480.0,1000.0,44.0
1P ,NORTH AMERICA,JEANNE D ARC,7.0,0.0,OFFSHORE,223.0,4264.0,GAS DRIVE,CRETACEOUS,980.0,0.65,15.0,31.0,0.68,685.0,839.0,30.0
1P ,ASIA-PACIFIC,ASRI,22.0,63.0,OFFSHORE,190.0,1540.0,AQUIFER DRIVE,NEOGENE/PALEOGENE,325.0,0.5,29.0,32.5,4.0,82.0,1000.0,47.0
1P ,NORTH AMERICA,LOS ANGELES,5000.0,6.0,ONSHORE-OFFSHORE,135.0,1356.0,GAS DRIVE,NEOGENE,600.0,0.37,32.0,17.0,84.0,160.0,8800.0,34.0
1P ,NORTH AMERICA,LOS ANGELES,5000.0,6.0,ONSHORE-OFFSHORE,120.0,1037.0,GAS DRIVE,NEOGENE,280.0,0.46,35.0,13.5,360.0,87.0,8800.0,34.0
1P ,NORTH AMERICA,PICEANCE,27.0,60.0,ONSHORE,172.0,2184.0,AQUIFER DRIVE,JURASSIC,250.0,0.3,16.0,49.0,5.6,420.0,146.0,45.0
1P ,EUROPE,WESSEX,57.0,247.11,ONSHORE-OFFSHORE,150.8,2429.96,AQUIFER DRIVE,TRIASSIC,524.93,0.7,18.0,41.06,0.9,338.56,923.97,53.0
1P ,ASIA-PACIFIC,BOHAI,105.0,12.0,ONSHORE,233.0,4669.0,GAS DRIVE,PALEOGENE,1200.0,0.4,15.6,29.0,4.03,277.0,151.7,34.4
1P ,AFRICA,LOWER CONGO,5.0,160.0,OFFSHORE,259.47719975100074,7356.592145753636,GRAVITY DRAINAGE,NEOGENE,200.0,0.4,28.0,35.0,0.6,500.0,300.0,33.0
1P ,ASIA-PACIFIC,BOHAI,488.0,20.0,ONSHORE,171.13060058950697,3244.0,GAS DRIVE,PALEOGENE,900.0,0.3,18.0,33.5,3.5,620.0,605.0,38.5
1P ,ASIA-PACIFIC,JIUQUAN,22.0,160.0,ONSHORE,171.0,4239.0,GAS DRIVE,PALEOGENE,200.0,0.6,22.4,33.0,0.75,392.0,1000.0,44.0
1P ,ASIA-PACIFIC,JIUQUAN,22.0,0.0,ONSHORE,196.0,7033.0,GAS DRIVE,CRETACEOUS,620.0,0.6,8.5,32.0,4.4,320.0,1000.0,44.0
1P ,ASIA-PACIFIC,KUTAI,41.0,0.0,OFFSHORE,93.0,900.0,AQUIFER DRIVE,NEOGENE,4800.0,0.6,25.0,20.0,11.0,200.0,1000.0,44.0
1P ,ASIA-PACIFIC,BOHAI,116.0,10.0,ONSHORE,150.8,2350.0,AQUIFER DRIVE,NEOGENE,200.0,0.3,32.0,22.0,15.77,259.0,158.8,42.0
1P ,ASIA-PACIFIC,BOHAI,135.0,10.0,ONSHORE,140.0,1906.0,AQUIFER DRIVE,NEOGENE,2615.0,0.3,31.0,16.0,102.0,203.0,189.0,29.6
1P ,FORMER SOVIET UNION,TIMAN-PECHORA,112369.0,0.1,ONSHORE,43.0,203.0,GAS DRIVE,DEVONIAN,100.0,0.86,21.0,18.0,15300.0,31.0,1300.0,45.0
1P ,NORTH AMERICA,PERMIAN,25.0,40.0,ONSHORE,132.0,3226.0,GAS DRIVE,PERMIAN,560.0,0.39,13.0,37.0,0.7,800.0,22.0,11.3
1P ,AFRICA,GULF OF SUEZ,8.0,80.0,OFFSHORE,152.47387737293485,1932.0,GAS DRIVE,NEOGENE,200.0,0.7,30.0,32.0,1.4,320.0,104.0,27.0
1P ,NORTH AMERICA,SAN JOAQUIN,134.0,40.0,ONSHORE,240.0,5660.0,GAS DRIVE,NEOGENE,225.0,0.67,17.0,34.0,0.52,650.0,280.0,40.0
1P ,AFRICA,GULF OF SUEZ,9.0,45.0,OFFSHORE,160.0,2700.0,AQUIFER DRIVE,NEOGENE,100.0,0.4,9.0,22.3,25.0,7.5,43.0,31.0
1P ,AFRICA,GULF OF SUEZ,9.0,45.0,OFFSHORE,160.0,2700.0,AQUIFER DRIVE,NEOGENE,700.0,0.5,20.0,22.3,25.0,7.5,168.0,31.0
1P ,AFRICA,NIGER DELTA,34.0,250.0,OFFSHORE,170.0,2488.0,AQUIFER DRIVE,NEOGENE,190.0,0.6,27.0,35.0,0.7,500.0,1000.0,44.0
1P ,ASIA-PACIFIC,BOHAI,428.0,6.7,ONSHORE,158.0,2654.0,AQUIFER DRIVE,PALEOGENE,200.0,0.2,23.3,24.0,38.67,142.0,637.3,15.0
1P ,ASIA-PACIFIC,BOHAI,22.0,7.4,ONSHORE,158.0,2654.0,AQUIFER DRIVE,PALEOGENE,1080.0,0.2,26.7,22.0,71.0,96.0,1000.0,12.0
1P ,ASIA-PACIFIC,BOHAI,108.0,5.6,ONSHORE,161.0,2800.0,AQUIFER DRIVE,PALEOGENE,2540.0,0.35,22.4,27.0,31.2,99.0,1000.0,28.0
1P ,ASIA-PACIFIC,BOHAI,23.0,7.6,ONSHORE,148.0,2596.0,AQUIFER DRIVE,PALEOGENE,2050.0,0.08,23.2,18.0,45.6,185.0,1000.0,13.0
1P ,ASIA-PACIFIC,BOHAI,63.0,11.0,ONSHORE,200.0,3828.0,AQUIFER DRIVE,PALEOGENE,1480.0,0.2,21.1,29.0,6.86,190.0,1000.0,19.0
1P ,MIDDLE EAST,CENTRAL OMAN UPLIFT,53.0,100.0,ONSHORE,194.31613260799108,3655.0,AQUIFER DRIVE,PERMIAN,533.0,0.3,21.0,44.0,0.7,500.0,352.0,18.5
1P ,AFRICA,GULF OF SUEZ,45.0,0.0,OFFSHORE,152.0,2176.6270147489,GAS DRIVE,CRETACEOUS/JURASSIC/TRIASSIC/PERMIAN,500.0,0.6,18.0,34.0,0.84,680.0,192.0,65.6
1P ,FORMER SOVIET UNION,CASPIAN MIDDLE,22.0,50.0,ONSHORE,176.0,2581.0,AQUIFER DRIVE,JURASSIC,200.0,0.6,18.0,35.0,2.5,580.0,2710.0,39.0
1P ,FORMER SOVIET UNION,VOLGA-URAL,22.0,0.0,ONSHORE,73.0,885.0,AQUIFER DRIVE,CARBONIFEROUS,262.0,0.1,24.0,28.0,25.0,67.0,159.8,21.5
1P ,FORMER SOVIET UNION,VOLGA-URAL,22.0,0.0,ONSHORE,82.0,1540.0,GAS DRIVE,CARBONIFEROUS,128.0,0.35,26.0,33.0,9.0,268.0,456.3,67.3
1P ,ASIA-PACIFIC,JIANGHAN,59.0,22.0,ONSHORE,186.0,3504.0,AQUIFER DRIVE,PALEOGENE,200.0,0.3,22.0,34.0,3.8,177.0,61.7,44.0
1P ,MIDDLE EAST,MESOPOTAMIAN,22.0,0.0,ONSHORE,220.0,5373.0,AQUIFER DRIVE,CRETACEOUS,353.0,0.52,18.0,36.0,0.7,825.0,8000.0,34.0
1P ,EUROPE,PANNONIAN,160.0,62.0,ONSHORE,231.0,3060.0,GAS DRIVE,NEOGENE,660.0,0.6,19.0,33.8,0.7,1234.0,329.0,35.0
