5_Resource uncertainty,10_Region,11_Basin name,38_Well count (total producer),52_Well spacing (average) (ac),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,75_Temperature (original) (deg. F),76_Pressure_Temp_depth (ft TVDSS),77_Pressure (original) (psi),82_Drive mechanism (main),117_Reservoir top subsea depth (ft TVDSS),149_Reservoir period,170_Gross reservoir thickness (average) (ft),176_Net/gross ratio (average),204_Porosity (matrix average) (%),218_API gravity (average) (deg. API),293_Original in-place oil equivalent (MMBOE),225_Viscosity (oil average) (cp),252_GOR (initial average) (SCF/STB),307_Recovery factor (ultimate oil) (%)
1P ,EUROPE,NORTH SEA NORTHERN,5.0,0.0,5000.0,OFFSHORE,207.0,10500.0,4900.0,AQUIFER DRIVE,9959.0,JURASSIC,180.0,0.8,18.0,37.0,290.0,0.7,960.0,44.0
1P ,FORMER SOVIET UNION,CARPATHIAN,600.0,44.0,11000.0,ONSHORE,64.0,2140.0,3597.0,AQUIFER DRIVE,-660.0,PALEOGENE,200.0,0.6,10.0,44.0,943.0,1.3,610.0,14.0
1P ,ASIA-PACIFIC,SARAWAK,22.0,0.0,40000.0,OFFSHORE,119.92306410919258,6000.0,948.0,AQUIFER DRIVE,1500.0,NEOGENE,200.0,0.35,23.0,20.0,800.0,10.0,200.0,34.4
1P ,AFRICA,NIGER DELTA,4.0,500.0,5000.0,OFFSHORE,154.07372830839287,6000.0,2416.017463049922,GAS DRIVE,7650.0,NEOGENE,60.0,0.9,30.0,30.0,1468.0,1.83,900.0,47.0
1P ,AFRICA,NIGER DELTA,22.0,0.0,25828.0,OFFSHORE,164.53429211715692,6000.0,2906.335248726714,GAS DRIVE,8500.0,NEOGENE,200.0,0.6,30.0,30.0,1000.0,1.83,900.0,44.0
1P ,FORMER SOVIET UNION,CARPATHIAN,1675.0,12.0,38000.0,ONSHORE,129.0,4880.0,3336.0,AQUIFER DRIVE,1312.34,PALEOGENE/CRETACEOUS,200.0,0.68,13.0,33.0,734.0,4.0,500.0,39.0
1P ,LATIN AMERICA,MARACAIBO,601.0,90.0,112907.0,ONSHORE,180.0,7825.0,3450.0,GAS DRIVE,4200.0,PALEOGENE,200.0,0.5,24.6,10.5,36840.0,344.0,108.0,6.7
3P ,LATIN AMERICA,EASTERN VENEZUELA,22.0,0.0,5000.0,ONSHORE,140.0,6000.0,598.9574337771052,AQUIFER DRIVE,500.0,NEOGENE/PALEOGENE,1700.0,0.6,20.0,7.0,489000.0,10000.0,70.0,20.0
1P ,EUROPE,NORTH SEA NORTHERN,8.0,158.0,15757.0,OFFSHORE,246.0,12600.0,7057.0,AQUIFER DRIVE,11749.0,JURASSIC,801.0,0.6,11.5,33.0,244.0,0.7,1415.0,29.0
1P ,EUROPE,NORTH SEA NORTHERN,47.0,100.0,104518.0,OFFSHORE,253.0,12740.0,7128.0,AQUIFER DRIVE,11821.0,JURASSIC,801.0,0.75,11.5,35.0,795.0,0.27,1343.0,36.0
1P ,EUROPE,NORTH SEA NORTHERN,56.0,241.0,111002.0,OFFSHORE,189.0,6988.0,3118.0,AQUIFER DRIVE,6791.0,JURASSIC,123.0,0.3,22.0,37.8,1036.0,0.57,522.0,36.0
